word,form,reason
about,ab,Old English onbutan — no Latin ab- here
okay,y,an abbreviation, not a suffixed form
really,re,real + -ly; the re- is part of the stem
never,er,Old English ne + aefre
again,ag,Old English ongean
after,af,Old English aefter
away,a,Old English aweg (on weg)
listen,en,Old English hlysnan
another,an,"an + other; the an is the article, not the Greek privative"
many,man,Old English manig — unrelated to Latin manus
family,ly,Latin familia; the -ly is stem, not the adverb suffix
miss,miss,Old English missan — not Latin mittere/missum
until,un,Old Norse und + till
person,per,Latin persona, unanalyzable — not per-
inside,in,the English preposition in; the 'not' gloss is wrong here
telling,tel,Old English tellan — not Greek tele-
promise,ise,pro- + missum; the -ise is stem
sent,sent,past tense of send — not Latin sentire
asking,as,Old English ascian
bitch,bi,Old English bicce
happens,pens,hap + -en — not Latin pendere
imagine,im,Latin imago + -ine
imagine,ag,Latin imago + -ine
protect,prot,pro- + tegere; the root is teg, not prot
floor,or,Old English flor
stopped,ped,the -ed past suffix, not Latin ped- 'foot'
heaven,ven,Old English heofon — not Latin venire
director,di,reduced dis-; the root is reg/rect
pardon,par,Latin per- + donare
path,path,Old English paeth — not Greek pathos
europe,eu,pre-Greek and disputed; not the eu- 'good' prefix
panting,pan,Old French pantaisier — not Greek pan- 'all'
edward,ward,Old English weard 'guardian' — a name, not a suffix
ending,end,Old English ende as a free word, not a prefix
struck,stru,strike, Germanic — not Latin struere
judy,jud,Hebrew Yehudit — a name
placed,ced,place + -ed — not Latin cedere
homes,hom,Old English ham — not Greek homo- 'same'
activity,vit,act + -ivity — not Latin vita 'life'
fraud,aud,Latin fraus/fraud- 'deceit' — unrelated to audire 'to hear'
irish,ir,from Eriu — a demonym, not the in- prefix
demands,dem,de- + mandare — not Greek demos 'people'
diary,dia,Latin dies 'day' — not Greek dia- 'through'
megan,mega,from Margaret/margarites 'pearl' — a name
cemetery,meter,Greek koimeterion, from koiman 'to sleep' + -terion
ahem,hem,an interjection, not Greek haima 'blood'
laptop,top,Old English topp 'summit' — not Greek topos 'place'
about,a,Old English onbutan — blocking ab- must not just expose a-
again,a,Old English ongean
another,a,"an + other — the a- privative is not involved"
ahem,a,an interjection, not a- + hem
away,y,Old English aweg — no -y suffix
after,er,Old English aefter — no -er suffix
