canonical,type,origin_lang,source_form,gloss,notes,forms,wikt_entry,reviewed
mono-,prefix,Ancient Greek,monos,"one, single, alone",μόνος,mono|mon,mono-,1
poly-,prefix,Ancient Greek,polus,"many, much",πολύς,poly,poly-,0
di-,prefix,Ancient Greek,dis,"two, double",δίς,di,di-,0
hemi-,prefix,Ancient Greek,hemi,half,ἡμι-,hemi,hemi-,0
pan-,prefix,Ancient Greek,pan,"all, every",πᾶν,pan|panto,pan-,0
micro-,prefix,Ancient Greek,mikros,small,μικρός,micro,micro-,0
macro-,prefix,Ancient Greek,makros,"large, long",μακρός,macro,macro-,0
mega-,prefix,Ancient Greek,megas,"large, great",μέγας,mega|megal|megalo,mega-,0
tele-,prefix,Ancient Greek,tele,"far, distant",τῆλε,tele|tel,tele-,1
auto-,prefix,Ancient Greek,autos,self,αὐτός,auto|aut,auto-,1
neo-,prefix,Ancient Greek,neos,"new, recent",νέος,neo,neo-,0
pseudo-,prefix,Ancient Greek,pseudes,"false, pretended",ψευδής,pseudo|pseud,pseudo-,0
proto-,prefix,Ancient Greek,protos,first,πρῶτος,proto|prot,proto-,1
iso-,prefix,Ancient Greek,isos,equal,ἴσος,iso,iso-,0
eu-,prefix,Ancient Greek,eu,"good, well",εὖ,eu,eu-,0
dys-,prefix,Ancient Greek,dus-,"bad, difficult, abnormal",δυσ-,dys,dys-,0
a-,prefix,Ancient Greek,a-,"not, without","alpha privative; 'a' before consonants, 'an' before vowels. Single-letter form is highly ambiguous — expect heavy cost-function reliance.",an|a,a-,0
al-,prefix,Old English,eall,all,"in alone, always, almost, already; distinct from Latin ad- assimilated as al-",al,al-,0
anti-,prefix,Ancient Greek,anti,"against, opposite",ἀντί,anti|ant,anti-,0
syn-,prefix,Ancient Greek,sun,"with, together","σύν; assimilates: sym- before b/m/p, syl- before l",syn|sym|syl|sys,syn-,1
dia-,prefix,Ancient Greek,dia,"through, across",διά,dia,dia-,0
epi-,prefix,Ancient Greek,epi,"upon, over, in addition",ἐπί,epi,epi-,0
hypo-,prefix,Ancient Greek,hupo,"under, below",ὑπό,hypo|hyp,hypo-,0
hyper-,prefix,Ancient Greek,huper,"over, above, excessive",ὑπέρ,hyper,hyper-,0
peri-,prefix,Ancient Greek,peri,"around, about",περί,peri,peri-,0
para-,prefix,Ancient Greek,para,"beside, beyond, abnormal",παρά,para|par,para-,1
meta-,prefix,Ancient Greek,meta,"after, beyond, change",μετά,meta|met,meta-,0
amphi-,prefix,Ancient Greek,amphi,"both, around",ἀμφί,amphi,amphi-,0
endo-,prefix,Ancient Greek,endon,"within, inside",ἔνδον,endo|end,endo-,0
exo-,prefix,Ancient Greek,exo,"outside, external",ἔξω,exo,exo-,0
ecto-,prefix,Ancient Greek,ektos,"outside, external",ἐκτός,ecto,ecto-,0
homo-,prefix,Ancient Greek,homos,same,ὁμός,homo|hom,homo-,0
hetero-,prefix,Ancient Greek,heteros,"other, different",ἕτερος,hetero|heter,hetero-,0
re-,prefix,Latin,re-,"again, back",,re,re-,0
de-,prefix,Latin,de,"down, away; undo",,de,de-,0
dis-,prefix,Latin,dis-,"apart, not, reversal",,dis|dif,dis-,1
in-,prefix,Latin,in-,"not, without","assimilates: im- before b/m/p, il- before l, ir- before r; distinct from in- 'into'",in|im|il|ir,in-,0
in-,prefix,Latin,in,"in, into, toward",distinct from in- 'not',in|im,in-,0
ex-,prefix,Latin,ex,"out of, from",,ex|ef,ex-,0
pre-,prefix,Latin,prae,"before, in front of",,pre,pre-,1
post-,prefix,Latin,post,"after, behind",,post,post-,0
sub-,prefix,Latin,sub,"under, below",,sub|sus,sub-,1
super-,prefix,Latin,super,"above, over, beyond",,super,super-,1
trans-,prefix,Latin,trans,"across, through, beyond",,trans,trans-,1
inter-,prefix,Latin,inter,"between, among",,inter,inter-,1
intra-,prefix,Latin,intra,"within, inside",,intra,intra-,0
contra-,prefix,Latin,contra,"against, opposite",counter- via French,contra|counter,contra-,1
com-,prefix,Latin,cum,"with, together","assimilates: con-, co-, col-, cor-",com|con|co|col|cor,com-,1
ab-,prefix,Latin,ab,"away from, off",,ab|abs,ab-,1
ad-,prefix,Latin,ad,"to, toward","assimilates before many consonants (accede, affix, aggregate, allude, appear, arrive, assent, attract); short forms are highly ambiguous",ad|ac|af|ag|al|ap|ar|as|at,ad-,0
per-,prefix,Latin,per,"through, thoroughly",,per,per-,0
pro-,prefix,Latin,pro,"forward, before, in favor of",,pro,pro-,1
circum-,prefix,Latin,circum,around,,circum,circum-,1
extra-,prefix,Latin,extra,"outside, beyond",,extra,extra-,1
ultra-,prefix,Latin,ultra,beyond,,ultra,ultra-,0
semi-,prefix,Latin,semi,half,,semi,semi-,0
multi-,prefix,Latin,multus,many,,multi,multi-,1
uni-,prefix,Latin,unus,one,,uni,uni-,1
bi-,prefix,Latin,bis,"two, twice",,bi|bin,bi-,0
tri-,prefix,Latin,tres,three,also Greek τρεῖς,tri,tri-,1
ambi-,prefix,Latin,ambo,"both, around",,ambi,ambi-,0
non-,prefix,Latin,non,not,,non,non-,1
retro-,prefix,Latin,retro,"backward, behind",,retro,retro-,0
un-,prefix,Old English,un-,not; reversal of,,un,un-,0
mis-,prefix,Old English,mis-,"wrongly, badly",,mis,mis-,1
over-,prefix,Old English,ofer,"above, excessive",,over,over-,1
under-,prefix,Old English,under,"beneath, insufficient",,under,under-,1
out-,prefix,Old English,ut,"beyond, surpassing",,out,out-,1
fore-,prefix,Old English,fore,"before, in front",,fore,fore-,1
lith,root,Ancient Greek,lithos,stone,λίθος,lith|litho,litho-,1
chron,root,Ancient Greek,khronos,time,χρόνος,chron|chrono,chrono-,1
phot,root,Ancient Greek,phos,light,"φῶς, genitive φωτός",phot|photo|phos,photo-,1
graph,root,Ancient Greek,graphein,"to write, to draw",γράφειν,graph|grapho,-graph,1
log,root,Ancient Greek,logos,"word, speech, reason",λόγος,log|logo,logo-,1
bio,root,Ancient Greek,bios,life,βίος,bio,bio-,0
geo,root,Ancient Greek,ge,earth,γῆ,geo,geo-,0
therm,root,Ancient Greek,therme,heat,θέρμη,therm|thermo,thermo-,0
hydr,root,Ancient Greek,hudor,water,ὕδωρ,hydr|hydro,hydro-,1
path,root,Ancient Greek,pathos,"feeling, suffering, disease",πάθος,path|patho,patho-,0
phon,root,Ancient Greek,phone,"sound, voice",φωνή,phon|phono,phono-,1
scop,root,Ancient Greek,skopein,"to look at, examine",σκοπεῖν,scop|scope,-scope,0
morph,root,Ancient Greek,morphe,"form, shape",μορφή,morph|morpho,morpho-,0
psych,root,Ancient Greek,psukhe,"mind, soul",ψυχή,psych|psycho,psycho-,1
derm,root,Ancient Greek,derma,skin,δέρμα,derm|derma|dermo,dermo-,0
cardi,root,Ancient Greek,kardia,heart,καρδία,cardi|cardio,cardio-,0
dem,root,Ancient Greek,demos,"people, populace",δῆμος,dem|demo,demo-,1
phil,root,Ancient Greek,philos,"loving, fond of",φίλος,phil|philo,philo-,1
phob,root,Ancient Greek,phobos,"fear, dread",φόβος,phob,-phobia,1
soph,root,Ancient Greek,sophia,"wisdom, knowledge",σοφία,soph|sopho,-sophy,1
etym,root,Ancient Greek,etymon,"true, literal sense","ἔτυμον; borrowed whole as English ""etymon""",etym|etymo|etymon,etymology,1
therap,root,Ancient Greek,therapeia,"healing, treatment",θεραπεία,therap,therapy,1
thes,root,Ancient Greek,thesis,"placing, setting",θέσις; ablaut variant thet-,thes|thet,thesis,0
anthrop,root,Ancient Greek,anthropos,human being,ἄνθρωπος,anthrop|anthropo,anthropo-,0
astr,root,Ancient Greek,astron,star,ἄστρον,astr|astro,astro-,0
cycl,root,Ancient Greek,kuklos,"circle, wheel",κύκλος,cycl|cyclo,cyclo-,1
gram,root,Ancient Greek,gramma,"written thing, letter",γράμμα,gram,-gram,1
metr,root,Ancient Greek,metron,measure,μέτρον,metr|meter|metre,-meter,0
phys,root,Ancient Greek,phusis,nature,φύσις,phys|physi|physio,physio-,1
techn,root,Ancient Greek,tekhne,"art, skill, craft",τέχνη,techn|techno|tech,techno-,1
zo,root,Ancient Greek,zoion,"animal, living being",ζῷον,zo|zoo,zoo-,0
gen,root,Ancient Greek,genos,"birth, origin, kind",γένος; Latin genus is cognate — one row for both traditions,gen|geno,-gen,0
gen,root,Latin,"genus, generis, generalis","class, kind, race, birth","Latin genus sense (general, generous, generic) — cognate with but distinct from the Ancient Greek genos row above; disambiguated by which source form the retrieved prose names",gen,genus,1
crypt,root,Ancient Greek,kruptos,"hidden, secret",κρυπτός,crypt|crypto,crypto-,0
glot,root,Ancient Greek,glotta,"tongue, language",γλῶττα / γλῶσσα,glot|gloss|glosso,glosso-,0
hem,root,Ancient Greek,haima,blood,αἷμα,hem|hemo|hemat|haem,hemo-,0
neur,root,Ancient Greek,neuron,"nerve, sinew",νεῦρον,neur|neuro,neuro-,0
opt,root,Ancient Greek,optos,"seen, visible; eye",ὀπτός,opt|opto,opto-,0
opt,root,Latin,"optare, optio, opto","to choose, wish for","choosing sense (option, adopt, opt) — distinct from the Ancient Greek optos eye row above (optic, optometry). Note optimus best is from ops, not optare",opt,optare,1
pyr,root,Ancient Greek,pur,fire,πῦρ,pyr|pyro,pyro-,0
the,root,Ancient Greek,theos,god,θεός; form 'the' collides with the English article — expect cost-function reliance,the|theo,theo-,0
the,root,Ancient Greek,"thea, theoros, theatron","sight, spectacle; viewing","viewing sense (theory, theater) — distinct from the theos god row above. Same origin language, so disambiguation rests entirely on which source form the prose names",the,thea,1
ton,root,Ancient Greek,tonos,"tone, pitch, tension",τόνος; in monotonous/monotone/tonic,ton|tono|tone,tono-,1
top,root,Ancient Greek,topos,place,τόπος,top|topo,topo-,0
top,root,Old English,topp,"summit, crown, highest part","native sense (laptop, desktop, topmost) — distinct from the Ancient Greek topos place row above (topic, topography)",top,top,1
polis,root,Ancient Greek,polis,"city, city-state",πόλις,polis|poli|pol,-polis,1
paed,root,Ancient Greek,pais,child,"παῖς, genitive παιδός; distinct from Latin ped 'foot'",paed|ped|pedo,paedo-,0
ped,root,Latin,pes,foot,genitive pedis; distinct from Greek paed 'child',ped|pedi,ped-,0
aud,root,Latin,audire,to hear,,aud|audi,audire,1
cap,root,Latin,capere,"to take, seize",,cap|capt|cip|cept|ceipt|ceiv|ceive|cipe,capere,1
ced,root,Latin,cedere,"to go, yield",,ced|cess,cede,1
cred,root,Latin,credere,"to believe, trust",,cred,credo,1
dict,root,Latin,dicere,"to say, speak",,dict|dic,dicere,1
duc,root,Latin,ducere,to lead,,duc|duct,duct,1
fac,root,Latin,facere,"to make, do",,fac|fact|fic|fect,fact,1
fer,root,Latin,ferre,"to carry, bear",,fer,-fer,1
flect,root,Latin,flectere,to bend,,flect|flex,flectere,0
form,root,Latin,forma,"shape, form",,form,form,1
fract,root,Latin,frangere,to break,,fract|frag,frangere,0
integr,root,Latin,integer,"whole, untouched, entire",in integral/integrity/integrate; from in- 'not' + stem of tangere 'to touch',integr|integer,integer,1
ject,root,Latin,iacere,"to throw, cast",,ject,iacere,1
jud,root,Latin,iudex,judge,,jud|judic,judge,0
junct,root,Latin,iungere,to join,,junct,iungere,0
leg,root,Latin,legere,"to read, choose",collides with free word 'leg',leg|lect,legere,1
leg,root,Latin,"lex, legis, legalis",law,"law sense (legal, legislate, privilege) — distinct from the legere to read, choose row above (collect, legible, legend). Same origin language, so disambiguation rests on the source form named in the prose",leg,lex,1
loc,root,Latin,locus,place,,loc|loco,loco-,1
loqu,root,Latin,loqui,to speak,,loqu|locut,loqui,0
luc,root,Latin,lux,light,genitive lucis; lumin- from lumen,luc|lumin,lux,0
man,root,Latin,manus,hand,collides with free word 'man',man|manu,manus,0
mit,root,Latin,mittere,"to send, let go",,mit|mitt|miss,-mit,1
mot,root,Latin,movere,to move,,mot|mov,movere,1
mort,root,Latin,mors,death,genitive mortis,mort,mors,1
nov,root,Latin,novus,new,,nov,nov-,1
puls,root,Latin,pellere,"to push, drive",,pel|pell|puls,puls-,1
pend,root,Latin,pendere,"to hang, weigh",,pend|pens,pendere,1
port,root,Latin,portare,to carry,,port,portare,1
pos,root,Latin,ponere,"to place, put",,pos|pon|posit,posit,1
prim,root,Latin,primus,first,,prim|prime,primus,1
quir,root,Latin,quaerere,"to seek, ask",,quir|quis|quest|quer,quest,1
rupt,root,Latin,rumpere,"to break, burst",,rupt,rumpere,1
scrib,root,Latin,scribere,to write,,scrib|script,scribere,1
sect,root,Latin,secare,to cut,,sect,sect,1
sent,root,Latin,sentire,"to feel, perceive",,sent|sens,sentire,1
sequ,root,Latin,sequi,to follow,,sequ|secut,sequi,1
spect,root,Latin,specere,"to look, watch",,spect|spec|spic,spect,1
spir,root,Latin,spirare,to breathe,,spir,spirare,1
stat,root,Latin,stare,to stand,,stat|sta|stit,stare,1
struct,root,Latin,struere,"to build, assemble",,struct|stru,struct,1
tact,root,Latin,tangere,to touch,,tact|tang,tangere,1
tract,root,Latin,trahere,"to pull, drag",,tract,tract,1
trem,root,Latin,tremere,"to tremble, quake",in tremor/tremulous; tremend- from gerundive tremendus,trem|tremend|tremul,tremo,1
ven,root,Latin,venire,to come,,ven|vent,ven-,1
verg,root,Latin,vergere,"to bend, turn, incline",in converge/diverge,verg,vergere,1
vert,root,Latin,vertere,to turn,,vert|vers,vertere,1
